Type_Name	ASN1_Type	Parent_Type	Tag/ID	Field_Name	IE_Type	Criticality	Optional	Extensible	Min_Value	Max_Value
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		value	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		---	Interface					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		E2AP-ELEMENTARY-PROCEDURES	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		E2AP-ELEMENTARY-PROCEDURES-CLASS-1	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		2025	by					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		E2AP-ELEMENTARY-PROCEDURES-CLASS-2	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		---	Interface					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		--	New					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		e2connectionUpdate	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		SUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		UNSUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	reject					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		e2nodeConfigurationUpdate	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		SUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		UNSUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	reject					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		--	New					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		e2removal	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		SUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		UNSUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	reject					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		e2setup	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		SUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		UNSUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	reject					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		errorIndication	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
